Old Enough,Sundance winner
Style Wars,Sundance winner
Seeing Red,Sundance winner
The Good Fight (The Abraham Lincoln Brigade in the Spanish Civil War),Sundance winner
Last Night at the Alamo,Sundance winner
When the Mountains Tremble,Sundance winner
The Secret Agent,Sundance winner
Hero,Sundance winner
Blood Simple,Sundance winner
Seventeen,Sundance winner
Almost You,Sundance winner
The Killing Floor,Sundance winner
America and Lewis Hine,Sundance winner
Kaddish,Sundance winner
Streetwise,Sundance winner
The Times of Harvey Milk,Sundance winner
Stranger Than Paradise,Sundance winner
In Heaven There Is No Beer?,Sundance winner
Smooth Talk,Sundance winner
Private Conversations,Sundance winner
Desert Hearts,Sundance winner
The Mothers of Plaza de Mayo,Sundance winner
Parting Glances,Sundance winner
The Great Wall is a Great Wall,Sundance winner
Seven Minutes in Heaven,Sundance winner
Waiting for the Moon,Sundance winner
The Trouble with Dick,Sundance winner
Sherman's March,Sundance winner
No Picnic,Sundance winner
Chile: When Will It End?,Sundance winner
Working Girls,Sundance winner
River's Edge,Sundance winner
Sullivan's Pavilion,Sundance winner
Heat and Sunlight,Sundance winner
Beirut: The Last Home Movie,Sundance winner
Rachel River,Sundance winner
Lemon Sky,Sundance winner
"Thy Kingdom Come, Thy Will Be Done",Sundance winner
Dear America: Letters Home from Vietnam,Sundance winner
The Brave Little Toaster,Sundance winner
True Love,Sundance winner
For All Mankind,Sundance winner
"sex, lies and videotape",Sundance winner
Powwow Highway,Sundance winner
John Huston,Sundance winner
The Roommate,Sundance winner
Chameleon Street,Sundance winner
H-2 Worker,Sundance winner
Water and Power,Sundance winner
House Party,Sundance winner
Metamorphosis: Man Into Woman,Sundance winner
Longtime Companion,Sundance winner
Berkeley in the Sixties,Sundance winner
To Sleep with Anger,Sundance winner
Samsara: Death and Rebirth in Cambodia,Sundance winner
Poison,Sundance winner
American Dream,Sundance winner
Paris Is Burning,Sundance winner
Privilege,Sundance winner
One Cup of Coffee,Sundance winner
Daughters of the Dust,Sundance winner
Christo in Paris,Sundance winner
Straight Out of Brooklyn,Sundance winner
Hangin' with the Homeboys,Sundance winner
Trust,Sundance winner
In the Soup,Sundance winner
A Brief History of Time,Sundance winner
Finding Christa,Sundance winner
Zebrahead,Sundance winner
The Waterdance,Sundance winner
Brother's Keeper,Sundance winner
Swoon,Sundance winner
Shoot for the Contents,Sundance winner
The Hours and Times,Sundance winner
My Crasy Life,Sundance winner
Ruby in Paradise,Sundance winner
Public Access,Sundance winner
Silverlake Life: The View from Here,Sundance winner
Fly by Night,Sundance winner
El Mariachi,Sundance winner
Something Within Me,Sundance winner
An Ambush of Ghosts,Sundance winner
Children of Fate: Life and Death in a Sicilian Family,Sundance winner
Combination Platter,Sundance winner
Just Another Girl on the I.R.T.,Sundance winner
Earth and the American Dream,Sundance winner
What Happened Was...,Sundance winner
Freedom on My Mind,Sundance winner
Clerks,Sundance winner
Fresh,Sundance winner
Theremin: An Electronic Odyssey,Sundance winner
Spanking the Monkey,Sundance winner
Picture Bride,Sundance winner
Hoop Dreams,Robert Egbert: ***** Review
Suture,Sundance winner
Colorado Cowboy: The Bruce Ford Story,Sundance winner
Dialogues with Madwomen,Sundance winner
Heart of the Matter,Sundance winner
Coming Out Under Fire,Sundance winner
Fun,Sundance winner
The Brothers McMullen,Sundance winner
The Young Poisoner's Handbook,Sundance winner
Crumb,Robert Egbert: ***** Review
Angela,Sundance winner
Black is... Black Ain't,Sundance winner
Ballot Measure 9,Sundance winner
Unzipped,Sundance winner
Living in Oblivion,Sundance winner
When Billy Broke His Head...and Other Tales of Wonder,Sundance winner
Jupiter's Wife,Sundance winner
Heavy,Sundance winner
Rhythm Thief,Sundance winner
El héroe,Sundance winner
Eagles Don't Hunt Flies,Sundance winner
Strawberry and Chocolate,Sundance winner
The Salesman and Other Adventures,Sundance winner
Tom's Flesh,Sundance winner
Nonnie & Alex,Sundance winner
Welcome to the Dollhouse,Sundance winner
Troublesome Creek: A Midwestern,Sundance winner
Girls Town,Sundance winner
Care of the Spitfire Grill,Sundance winner
Color of a Brisk and Leaping Day,Sundance winner
Cutting Loose,Sundance winner
Big Night,Sundance winner
The Celluloid Closet,Sundance winner
When We Were Kings,Sundance winner
I Shot Andy Warhol,Sundance winner
Guantanamera,Sundance winner
Wild Horses,Sundance winner
Pig!,Sundance winner
Dry Mount,Sundance winner
Sunday,Sundance winner
Girls Like Us,Sundance winner
Love Jones,Sundance winner
Hurricane,Sundance winner
Paul Monette: The Brink of Summer's End,Sundance winner
Licensed to Kill,Sundance winner
In the Company of Men,Sundance winner
Family Name,Sundance winner
Fear and Learning at Hoover Elementary,Sundance winner
My America ...or Honk if You Love Buddha,Sundance winner
"SICK: The Life & Death of Bob Flanagan, Supermasochist",Sundance winner
The House of Yes,Sundance winner
Landscapes of Memory,Sundance winner
Man About Town,Sundance winner
Deep Crimson,Sundance winner
Syphon Gun,Sundance winner
Birdhouse,Sundance winner
Slam,Sundance winner
Frat House,Sundance winner
"The Farm: Angola, USA",Sundance winner
Miss Monday,Sundance winner
Fishbelly White,Sundance winner
Smoke Signals,Sundance winner
Divine Trash,Sundance winner
Pi,Sundance winner
Moment of Impact,Sundance winner
2by4,Sundance winner
Wild Man Blues,Sundance winner
High Art,Sundance winner
The Decline of Western Civilization III,Sundance winner
Who the Hell Is Juliette?,Sundance winner
Out of the Past,Sundance winner
Snake Feed,Sundance winner
Human Remains,Sundance winner
American Movie,Sundance winner
Three Seasons,Sundance winner
Genghis Blues,Sundance winner
Regret to Inform,Sundance winner
Rabbit in the Moon,Sundance winner
Judy Berlin,Sundance winner
The Black Press: Soldiers Without Swords,Sundance winner
Joe the King,Sundance winner
Guinevere,Sundance winner
Run Lola Run,Sundance winner
Train of Life,Sundance winner
Tumbleweeds,Sundance winner
Sing Faster: The Stagehands' Ring Cycle,Sundance winner
Stubble Trouble,Sundance winner
Come unto Me: The Faces of Tyree Guyton,Sundance winner
"A Pack of Gifts, Now",Sundance winner
Atomic Tabasco,Sundance winner
Devil Doll/Ring Pull,Sundance winner
Little Saints,Sundance winner
More,Sundance winner
On the Ropes,Sundance winner
Life is to Whistle,Sundance winner
"Happy, Texas",Sundance winner
Treasure Island,Sundance winner
Long Night's Journey into Day,Sundance winner
Girlfight&You Can Count On Me,Sundance winner
Girlfight,Sundance winner
Paragraph 175,Sundance winner
You Can Count On Me,Sundance winner
Dark Days,Sundance winner
Two Family House,Sundance winner
Americanos: Latino Life in The United States,Sundance winner
Committed,Sundance winner
Saving Grace,Sundance winner
The Ballad of Ramblin' Jack,Sundance winner
George Wallace: Settin' the Woods on Fire,Sundance winner
The Tao of Steve,Sundance winner
Songcatcher,Sundance winner
Herod's Law,Sundance winner
Five Feet High and Rising,Sundance winner
No One Writes to the Colonel,Sundance winner
Darling International,Sundance winner
G.,Sundance winner
Southern Comfort,Sundance winner
The Believer,Sundance winner
Dogtown and Z-Boys,Sundance winner
Hedwig and the Angry Inch,Sundance winner
Scout's Honor,Sundance winner
The Road Home,Sundance winner
LaLee's Kin: The Legacy of Cotton,Sundance winner
The Deep End,Sundance winner
Memento,Sundance winner
In the Bedroom,Sundance winner
Children Underground,Sundance winner
Possible Loves,Sundance winner
Sin Dejar Huella,Sundance winner
Without a Trace,Sundance winner
Coffin Joe - The Strange World Of José Mojica Marins,Sundance winner
"Gina, An Actress, Age 29",Sundance winner
Delusions in Modern Primitivism,Sundance winner
Jigsaw Venus,Sundance winner
Metropopular,Sundance winner
Peter Rabbit and the Crucifix,Sundance winner
Pie Fight '69,Sundance winner
Sweet,Sundance winner
Zen and the Art of Landscaping,Sundance winner
Amandla!: A Revolution in Four-Part Harmony,Sundance winner
Real Women Have Curves,Sundance winner
Sister Helen,Sundance winner
Tadpole,Sundance winner
Blue Vinyl,Sundance winner
Personal Velocity: Three Portraits,Sundance winner
Daughter from Danang,Sundance winner
No Dumb Questions,Sundance winner
The Parlor,Sundance winner
Stuck,Sundance winner
Drowning Lessons,Sundance winner
Bus 44,Sundance winner
Morning Breath,Sundance winner
The Trespasser,Sundance winner
Gasline,Sundance winner
Senorita Extraviada,Sundance winner
How to Draw a Bunny,Sundance winner
Manito,Sundance winner
Secretary,Sundance winner
Love Liza,Sundance winner
L'ultimo bacio,Sundance winner
Bloody Sunday,Sundance winner
Dopamine,Sundance winner
My Flesh and Blood,Sundance winner
The Station Agent,Sundance winner
thirteen,Sundance winner
Stevie,Sundance winner
Quattro Noza,Sundance winner
What I Want My Words to Do to You,Sundance winner
Capturing the Friedmans,Sundance winner
American Splendor,Sundance winner
Ocularist,Sundance winner
The Planets,Sundance winner
Pan with Us,Sundance winner
The Freak,Sundance winner
Asylum,Sundance winner
Fits & Starts,Sundance winner
Earthquake,Sundance winner
From the 104th Floor,Sundance winner
Terminal Bar,Sundance winner
One,Sundance winner
Broken Saints,Sundance winner
S-11 Redux: Channel Surfing the Apocalypse,Sundance winner
LOR,Sundance winner
Icarus of Pittsburgh,Sundance winner
Bumble Beeing,Sundance winner
Whale Rider,Sundance winner
Primer,Sundance winner
Born into Brothels,Sundance winner
Maria Full of Grace,Sundance winner
Super Size Me,Sundance winner
Down to the Bone,Sundance winner
Imelda,Sundance winner
November,Sundance winner
Repatriation,Sundance winner
Dig!,Sundance winner
Curtis,Sundance winner
Harvie Krumpet,Sundance winner
Krumped,Sundance winner
Papillon D’Amour,Sundance winner
Spokane,Sundance winner
When the Storm Came,Sundance winner
"Gowanus, Brooklyn",Sundance winner
Tomo,Sundance winner
Strangers,Sundance winner
Drum Machine,Sundance winner
Wet Dreams and False Images,Sundance winner
Bathtime in Clerkenwell,Sundance winner
The Dawn at My Back: Memoir of a Texas Upgringing,Sundance winner
Farmingville,Sundance winner
Brother to Brother,Sundance winner
We Don't Live Here Anymore,Sundance winner
The Corporation,Sundance winner
